time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-03-30T14:40:49.700Z,38.8284988,-122.8181686,17.65,1.16,md,9,83,0.008121,0.06,nc,nc74026426,2024-03-30T14:42:24.577Z,"8 km NW of The Geysers, CA",earthquake,2.85,9.38,0.21,2,automatic,nc,nc
2024-03-30T14:38:26.550Z,-19.6593,-175.7399,10,4.9,mb,26,83,1.585,1,us,us7000m8y5,2024-03-30T14:56:00.040Z,"146 km W of Pangai, Tonga",earthquake,5.5,1.862,0.14,18,reviewed,us,us
2024-03-30T14:31:06.270Z,19.37133408,-155.0838318,5.039999962,2.73,ml,56,125,0.02099,0.289999992,hv,hv74154877,2024-03-30T15:53:16.040Z,"11 km SSE of Fern Forest, Hawaii",earthquake,0.47,0.379999995,0.34,35,automatic,hv,hv
2024-03-30T14:30:58.712Z,61.6408,-151.9784,70.5,2.9,ml,,,,0.48,ak,ak024452vtz3,2024-03-30T15:08:10.040Z,"49 km SW of Skwentna, Alaska",earthquake,,1.8,,,automatic,ak,ak
2024-03-30T14:30:27.707Z,61.5607,-149.7323,33.1,2.3,ml,,,,0.4,ak,ak024452vsj6,2024-03-30T14:33:15.459Z,"8 km NW of Knik-Fairview, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-30T14:19:13.590Z,19.14683342,-155.4980011,33.08000183,2.32999992,md,38,144,0.03498,0.159999996,hv,hv74154862,2024-03-30T14:21:01.130Z,"6 km SSW of Pāhala, Hawaii",earthquake,0.65,0.529999971,0.219999999,4,automatic,hv,hv
2024-03-30T13:49:36.120Z,38.8465004,-122.7985001,0.67,0.7,md,11,130,0.008413,0.03,nc,nc74026401,2024-03-30T13:51:09.121Z,"7 km WNW of Cobb, CA",earthquake,0.32,0.58,0.15,11,automatic,nc,nc
2024-03-30T13:49:05.170Z,19.13750076,-155.3661652,28.62000084,2.1099999,md,33,197,0.09244,0.140000001,hv,hv74154847,2024-03-30T13:50:41.590Z,"13 km ESE of Pāhala, Hawaii",earthquake,0.63,0.75,0.200000003,4,automatic,hv,hv
2024-03-30T13:44:35.875Z,42.5692,43.6048,10,4.7,mb,33,37,1.003,0.57,us,us7000m8xt,2024-03-30T14:06:57.040Z,"13 km E of Oni, Georgia",earthquake,4.56,1.745,0.108,26,reviewed,us,us
2024-03-30T13:44:09.600Z,38.7949982,-122.7639999,-0.87,0.72,md,9,74,0.006542,0.07,nc,nc74026396,2024-03-30T13:45:44.039Z,"2 km NNW of The Geysers, CA",earthquake,0.25,0.71,0.08,8,automatic,nc,nc
2024-03-30T13:43:11.113Z,8.8446,126.6834,54.876,4.6,mb,25,142,2.075,0.67,us,us7000m8xv,2024-03-30T14:05:05.231Z,"41 km E of Aras-asan, Philippines",earthquake,13.57,9.993,0.136,18,reviewed,us,us
2024-03-30T13:41:33.662Z,61.7082,-151.7932,95,1.7,ml,,,,0.37,ak,ak024452cq9i,2024-03-30T13:43:32.069Z,"37 km SSW of Skwentna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-03-30T13:18:40.062Z,62.3606,-149.0162,0,1.5,ml,,,,1.11,ak,ak0244527tae,2024-03-30T13:20:44.443Z,"48 km ENE of Susitna North, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-03-30T13:14:59.970Z,38.8008347,-122.7596664,-0.18,0.51,md,9,148,0.0002124,0.06,nc,nc74026391,2024-03-30T13:16:33.788Z,"3 km N of The Geysers, CA",earthquake,0.42,0.79,0.23,8,automatic,nc,nc
2024-03-30T13:10:58.020Z,19.19916725,-155.4980011,33.93000031,2.56999993,md,38,75,0.04896,0.129999995,hv,hv74154832,2024-03-30T13:12:51.530Z,"2 km WSW of Pāhala, Hawaii",earthquake,0.51,0.699999988,0.280000001,4,automatic,hv,hv
2024-03-30T13:02:04.540Z,34.0361667,-117.2481667,11.94,1.61,ml,82,25,0.07482,0.17,ci,ci40702384,2024-03-30T13:13:21.620Z,"2 km SE of Loma Linda, CA",earthquake,0.13,0.29,0.168,27,automatic,ci,ci
2024-03-30T12:53:50.140Z,35.5015,-118.3893333,7.04,1.18,ml,31,65,0.1751,0.13,ci,ci40702376,2024-03-30T12:59:56.271Z,"13 km SE of Bodfish, CA",earthquake,0.15,1.53,0.142,15,automatic,ci,ci
2024-03-30T12:45:28.457Z,61.5489,-149.8015,32.8,1.7,ml,,,,0.5,ak,ak024451s57c,2024-03-30T12:47:55.291Z,"8 km ENE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-03-30T12:41:32.070Z,19.32583427,-155.5041656,1.779999971,1.94000006,md,46,67,0.06387,0.25999999,hv,hv74154817,2024-03-30T12:43:29.200Z,"13 km N of Pāhala, Hawaii",earthquake,0.32,0.930000007,0.50999999,17,automatic,hv,hv
2024-03-30T12:30:39.980Z,38.8148346,-122.8201675,2.65,0.8,md,12,97,0.009222,0.02,nc,nc74026381,2024-03-30T12:32:14.503Z,"7 km NW of The Geysers, CA",earthquake,0.43,0.65,0.12,13,automatic,nc,nc
2024-03-30T12:12:00.767Z,69.1716,-145.8286,0,3,ml,,,,0.71,ak,ak024451l0di,2024-03-30T13:04:43.040Z,"117 km N of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-30T12:03:32.290Z,38.8366661,-122.7983322,2.39,0.71,md,9,117,0.006477,0.01,nc,nc74026366,2024-03-30T12:05:09.103Z,"7 km WNW of Cobb, CA",earthquake,0.53,1.08,0.38,10,automatic,nc,nc
2024-03-30T12:03:12.660Z,38.793335,-122.7283325,0.37,0.88,md,6,100,0.01203,0.02,nc,nc74026361,2024-03-30T12:04:49.079Z,"3 km NE of The Geysers, CA",earthquake,0.69,6.33,0.2,7,automatic,nc,nc
2024-03-30T11:59:25.360Z,17.88616667,-66.85516667,13.91,2.2,md,4,243,0.09133,0.18,pr,pr71444293,2024-03-30T12:33:36.350Z,"10 km SSE of Maria Antonia, Puerto Rico",earthquake,1.73,1.09,0.073868886,3,reviewed,pr,pr
2024-03-30T11:58:50.270Z,32.7765,-115.8418333,3.2,1.34,ml,31,46,0.1207,0.26,ci,ci40702368,2024-03-30T12:04:55.144Z,"15 km ENE of Ocotillo, CA",earthquake,0.28,0.74,0.244,19,automatic,ci,ci
2024-03-30T11:44:12.250Z,38.7583351,-122.7373352,0.95,1.34,md,13,103,0.01028,0.03,nc,nc74026356,2024-03-30T12:48:05.304Z,"3 km SE of The Geysers, CA",earthquake,0.39,0.32,0.13,16,automatic,nc,nc
2024-03-30T11:30:05.753Z,65.4889,-148.2696,9.1,1.2,ml,,,,0.46,ak,ak0244513g0v,2024-03-30T11:33:34.244Z,"13 km ESE of Livengood, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-30T11:28:38.420Z,38.8414993,-122.8395004,1.74,0.48,md,8,123,0.004274,0.01,nc,nc74026351,2024-03-30T11:30:13.655Z,"10 km NW of The Geysers, CA",earthquake,0.41,0.83,0.18,7,automatic,nc,nc
2024-03-30T11:25:42.930Z,38.8269997,-122.8101654,1.57,0.76,md,13,113,0.0036,0.02,nc,nc74026346,2024-03-30T11:27:18.690Z,"7 km NW of The Geysers, CA",earthquake,0.26,0.85,0.26,14,automatic,nc,nc
